timestamp,block_number,issued_tao,staked_tao,staked_percentage,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2025-03-31 23:59:48+00:00,5252231,8540125.18220334,6133393.820006804,71.81854702537743,265095,149178,72.18006334202146,72.32427671052042
2025-04-01 23:59:48.001000+00:00,5259431,8546962.476577386,6173471.582159589,72.2300068483715,265699,149444,72.27889177485747,72.32519247597274
2025-04-02 23:59:48+00:00,5266631,8554006.43023426,6162827.898773417,72.04609850409759,266472,149766,72.38382502162519,72.31806234753616
2025-04-03 23:59:48+00:00,5273831,8561026.978698071,6183549.529355416,72.2290625265123,267196,150147,72.44720498038372,72.31949029384344
2025-04-04 23:59:48+00:00,5281031,8547094.832270958,6241691.969175366,73.02705880375674,267767,150424,72.55728762767386,72.31747735472287
2025-04-05 23:59:48+00:00,5288231,8554106.388525782,6249360.730449002,73.05685067035996,268345,150693,72.58669166661454,72.3153918708217
2025-04-06 23:59:48+00:00,5295431,8560938.66940373,6225755.204219966,72.72281048421048,269042,151055,72.62906557879,72.30834440428285
2025-04-07 23:59:48+00:00,5302631,8567663.851735214,6219192.27058709,72.58912555640839,269707,151398,72.65006756337158,72.29851928543901
2025-04-08 23:59:48.001000+00:00,5309831,8574679.45896432,6211140.675045903,72.43583512095631,270310,151763,72.5708088718806,72.29048911818425
2025-04-09 23:59:48.001000+00:00,5317031,8581586.61928861,6208152.826788365,72.34271588932589,271006,152089,72.44330662534834,72.29094744368763
2025-04-10 23:59:48+00:00,5324231,8588780.708531423,6216222.489031239,72.37607641858325,271582,152334,72.35420580135609,72.28716938919669
2025-04-11 23:59:48.001000+00:00,5331431,8574011.676918333,6213779.002900265,72.47224796331999,272139,152660,72.28843141755932,72.28721907545324
2025-04-12 23:59:48+00:00,5338631,8581205.930012815,6192570.18962325,72.16433494463408,272611,152921,72.24656339262793,72.2846780099306
