timestamp,block_number,issued_tao,staked_tao,circulating_tao,staked_percentage,circulating_percentage,total_market_cap_usd,staked_market_cap_usd,circulating_market_cap_usd,tao_price_usd,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2024-01-17 23:59:48+00:00,2167293,6074063.562350113,5394719.759985144,679343.8023649687,88.81566194703889,11.184338052961106,1951171438.1337268,1732945828.500028,218225609.6336989,321.23,80726,42119,88.96123034665625,89.0368778829267
2024-01-18 23:59:48+00:00,2174184,6080307.871265851,5402646.968960531,677660.9023053199,88.85482583032035,11.145174169679645,1953177297.4867294,1735492285.8391914,217685011.64753792,321.23,81106,42255,89.0251677639526,89.0522376818389
2024-01-19 23:59:48+00:00,2181076,6086505.916673603,5433837.818744621,652668.0979289813,89.27680171736894,10.723198282631055,1955168295.6130614,1745511722.5153348,209656573.09772667,321.23,81467,42405,89.093240002279,89.07053755883604
2024-01-20 23:59:48+00:00,2187917,6092765.258749068,5439607.388787393,653157.8699616743,89.27977950531155,10.720220494688434,1957178984.0679631,1747365081.5001745,209813902.56778866,321.23,81792,42532,89.16699102137989,89.08080789031993
2024-01-21 23:59:48+00:00,2194750,6099074.522792261,5446644.379474775,652430.1433174862,89.30280092693815,10.697199073061865,1959205708.9565582,1749625574.018682,209580134.9378761,321.23,82100,42664,89.24635964419899,89.09163638309097
2024-01-22 23:59:48+00:00,2201614,6105373.631371988,5451214.22937928,654159.4019927084,89.28551401618796,10.71448598381205,1961229171.6056237,1751093546.903506,210135624.70211774,321.23,82530,42823,89.31566261930496,89.10474834796565
2024-01-23 23:59:48+00:00,2208641,6111916.704218004,5461214.744239992,650701.9599780114,89.3535532064934,10.646446793506591,1963331002.8959496,1754306012.292213,209024990.60373664,321.23,82939,42980,89.32565624582571,89.11664199046048
2024-01-24 23:59:48+00:00,2215629,6118147.558421337,5467864.479122627,650283.0792987105,89.37124230677263,10.62875769322737,1965332540.1916862,1756442106.6285615,208890433.56312478,321.23,83501,43246,89.34779421553358,89.12725891343202
2024-01-25 23:59:48+00:00,2222776,6124764.181159328,5471861.052257342,652903.1289019855,89.3399466560621,10.660053343937898,1967457997.913811,1757725925.816626,209732072.0971848,321.23,84024,43483,89.36221536134433,89.1289454232324
2024-01-26 23:59:48+00:00,2229906,6131408.597084765,5478214.746230651,653193.8508541146,89.34675710301413,10.653242896985885,1969592383.6415393,1759766922.931672,209825460.70986727,321.23,84614,43735,89.38419083400774,89.13676220202414
2024-01-27 23:59:48+00:00,2237040,6137779.68599875,5489307.628834849,648472.0571639007,89.43474529326674,10.565254706733258,1971638968.5333786,1763330289.6106188,208308678.92275983,321.23,85186,43989,89.390208418974,89.14151935195497
